subpopulation,cultivar,gene_prefix
Non-stiff-stalk,B97,Zm00018ab
Tropical,CML52,Zm00019ab
Tropical,CML69,Zm00020ab
Tropical,CML103,Zm00021ab
Tropical,CML228,Zm00022ab
Tropical,CML247,Zm00023ab
Tropical,CML277,Zm00024ab
Tropical,CML322,Zm00025ab
Tropical,CML333,Zm00026ab
Popcorn,HP301,Zm00027ab
Sweet corn,Il14H,Zm00028ab
Tropical,Ki3,Zm00029ab
Tropical,Ki11,Zm00030ab
Non-stiff-stalk,Ky21,Zm00031ab
Temporate/tropical mix,M37W,Zm00032ab
Non-stiff-stalk,M162W,Zm00033ab
Temporate/tropical mix,Mo18W,Zm00034ab
Non-stiff-stalk,Ms71,Zm00035ab
Tropical,NC350,Zm00036ab
Tropical,NC358,Zm00037ab
Non-stiff-stalk,Oh7B,Zm00038ab
Non-stiff-stalk,Oh43,Zm00039ab
Sweet corn,P39,Zm00040ab
Temporate/tropical mixed,Tx303,Zm00041ab
Tropical,Tzi8,Zm00042ab
