run_accession	cultivar	refgen	annot
ERR3773809	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773810	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773812	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773815	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773816	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773818	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773819	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773822	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773824	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773807	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773808	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773814	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773817	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773823	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773825	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773826	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773811	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773813	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773820	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773821	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
ERR3773827	B73	Zm-B73-REFERENCE-NAM-5.0	Zm00001eb.1
