run_accession	cultivar	refgen	annot
ERR3791403	B97	Zm-B97-REFERENCE-NAM-1.0	Zm00018ab.1
ERR3791405	CML103	Zm-CML103-REFERENCE-NAM-1.0	Zm00021ab.1
ERR3791409	CML228	Zm-CML228-REFERENCE-NAM-1.0	Zm00022ab.1
ERR3791412	CML247	Zm-CML247-REFERENCE-NAM-1.0	Zm00023ab.1
ERR3791414	CML322	Zm-CML322-REFERENCE-NAM-1.0	Zm00025ab.1
ERR3791415	CML333	Zm-CML333-REFERENCE-NAM-1.0	Zm00026ab.1
ERR3791427	Ki3	Zm-Ki3-REFERENCE-NAM-1.0	Zm00029ab.1
ERR3791434	M37W	Zm-M37W-REFERENCE-NAM-1.0	Zm00032ab.1
ERR3791437	Ms71	Zm-Ms71-REFERENCE-NAM-1.0	Zm00035ab.1
ERR3791442	NC358	Zm-NC358-REFERENCE-NAM-1.0	Zm00037ab.1
ERR3791447	P39	Zm-P39-REFERENCE-NAM-1.0	Zm00040ab.1
ERR3791454	B97	Zm-B97-REFERENCE-NAM-1.0	Zm00018ab.1
ERR3791460	CML228	Zm-CML228-REFERENCE-NAM-1.0	Zm00022ab.1
ERR3791472	HP301	Zm-HP301-REFERENCE-NAM-1.0	Zm00027ab.1
ERR3791473	IL14H	Zm-Il14H-REFERENCE-NAM-1.0	Zm00028ab.1
ERR3791474	IL14H	Zm-Il14H-REFERENCE-NAM-1.0	Zm00028ab.1
ERR3791476	Ki11	Zm-Ki11-REFERENCE-NAM-1.0	Zm00030ab.1
ERR3791486	Mo18w	Zm-Mo18W-REFERENCE-NAM-1.0	Zm00034ab.1
ERR3791490	NC358	Zm-NC358-REFERENCE-NAM-1.0	Zm00037ab.1
ERR3791492	Oh43	Zm-Oh43-REFERENCE-NAM-1.0	Zm00039ab.1
ERR3791501	Tzi8	Zm-Tzi8-REFERENCE-NAM-1.0	Zm00042ab.1
ERR3791506	CML322	Zm-CML322-REFERENCE-NAM-1.0	Zm00025ab.1
ERR3791508	CML69	Zm-CML69-REFERENCE-NAM-1.0	Zm00020ab.1
ERR3791509	CML69	Zm-CML69-REFERENCE-NAM-1.0	Zm00020ab.1
ERR3791510	HP301	Zm-HP301-REFERENCE-NAM-1.0	Zm00027ab.1
ERR3791511	HP301	Zm-HP301-REFERENCE-NAM-1.0	Zm00027ab.1
ERR3791512	IL14H	Zm-Il14H-REFERENCE-NAM-1.0	Zm00028ab.1
ERR3791513	Ki11	Zm-Ki11-REFERENCE-NAM-1.0	Zm00030ab.1
ERR3791514	Ki3	Zm-Ki3-REFERENCE-NAM-1.0	Zm00029ab.1
ERR3791520	Mo18w	Zm-Mo18W-REFERENCE-NAM-1.0	Zm00034ab.1
ERR3791521	Ms71	Zm-Ms71-REFERENCE-NAM-1.0	Zm00035ab.1
ERR3791523	NC350	Zm-NC350-REFERENCE-NAM-1.0	Zm00036ab.1
ERR3791524	NC350	Zm-NC350-REFERENCE-NAM-1.0	Zm00036ab.1
ERR3791526	NC350	Zm-NC350-REFERENCE-NAM-1.0	Zm00036ab.1
ERR3791528	NC358	Zm-NC358-REFERENCE-NAM-1.0	Zm00037ab.1
ERR3791530	Oh43	Zm-Oh43-REFERENCE-NAM-1.0	Zm00039ab.1
ERR3791531	Oh7b	Zm-Oh7B-REFERENCE-NAM-1.0	Zm00038ab.1
ERR3791532	Oh7b	Zm-Oh7B-REFERENCE-NAM-1.0	Zm00038ab.1
ERR3791535	Tx303	Zm-Tx303-REFERENCE-NAM-1.0	Zm00041ab.1
ERR3791538	Tzi8	Zm-Tzi8-REFERENCE-NAM-1.0	Zm00042ab.1
ERR3791543	CML228	Zm-CML228-REFERENCE-NAM-1.0	Zm00022ab.1
ERR3791549	CML69	Zm-CML69-REFERENCE-NAM-1.0	Zm00020ab.1
ERR3791554	IL14H	Zm-Il14H-REFERENCE-NAM-1.0	Zm00028ab.1
ERR3791560	M162W	Zm-M162W-REFERENCE-NAM-1.0	Zm00033ab.1
ERR3791563	M162W	Zm-M162W-REFERENCE-NAM-1.0	Zm00033ab.1
ERR3791571	NC358	Zm-NC358-REFERENCE-NAM-1.0	Zm00037ab.1
ERR3791573	Oh43	Zm-Oh43-REFERENCE-NAM-1.0	Zm00039ab.1
ERR3791575	Oh7b	Zm-Oh7B-REFERENCE-NAM-1.0	Zm00038ab.1
ERR3791580	Tzi8	Zm-Tzi8-REFERENCE-NAM-1.0	Zm00042ab.1
ERR3791584	CML103	Zm-CML103-REFERENCE-NAM-1.0	Zm00021ab.1
ERR3791589	CML228	Zm-CML228-REFERENCE-NAM-1.0	Zm00022ab.1
ERR3791590	CML247	Zm-CML247-REFERENCE-NAM-1.0	Zm00023ab.1
ERR3791595	CML333	Zm-CML333-REFERENCE-NAM-1.0	Zm00026ab.1
ERR3791596	CML52	Zm-CML52-REFERENCE-NAM-1.0	Zm00019ab.1
ERR3791603	IL14H	Zm-Il14H-REFERENCE-NAM-1.0	Zm00028ab.1
ERR3791605	Ki11	Zm-Ki11-REFERENCE-NAM-1.0	Zm00030ab.1
ERR3791607	Ki3	Zm-Ki3-REFERENCE-NAM-1.0	Zm00029ab.1
ERR3791608	Ky21	Zm-Ky21-REFERENCE-NAM-1.0	Zm00031ab.1
ERR3791614	Mo18w	Zm-Mo18W-REFERENCE-NAM-1.0	Zm00034ab.1
ERR3791615	Mo18w	Zm-Mo18W-REFERENCE-NAM-1.0	Zm00034ab.1
ERR3791617	Ms71	Zm-Ms71-REFERENCE-NAM-1.0	Zm00035ab.1
ERR3791618	NC350	Zm-NC350-REFERENCE-NAM-1.0	Zm00036ab.1
ERR3791620	NC350	Zm-NC350-REFERENCE-NAM-1.0	Zm00036ab.1
ERR3791624	Oh43	Zm-Oh43-REFERENCE-NAM-1.0	Zm00039ab.1
ERR3791629	Tx303	Zm-Tx303-REFERENCE-NAM-1.0	Zm00041ab.1
ERR3791631	Tx303	Zm-Tx303-REFERENCE-NAM-1.0	Zm00041ab.1
ERR3791632	Tzi8	Zm-Tzi8-REFERENCE-NAM-1.0	Zm00042ab.1
ERR3791638	CML277	Zm-CML277-REFERENCE-NAM-1.0	Zm00024ab.1
ERR3791639	CML277	Zm-CML277-REFERENCE-NAM-1.0	Zm00024ab.1
ERR3791644	CML322	Zm-CML322-REFERENCE-NAM-1.0	Zm00025ab.1
ERR3791645	CML322	Zm-CML322-REFERENCE-NAM-1.0	Zm00025ab.1
ERR3791646	CML333	Zm-CML333-REFERENCE-NAM-1.0	Zm00026ab.1
ERR3791647	CML333	Zm-CML333-REFERENCE-NAM-1.0	Zm00026ab.1
ERR3791653	HP301	Zm-HP301-REFERENCE-NAM-1.0	Zm00027ab.1
