run_accession	cultivar	organism_part
ERR3773809	B73	shoot
ERR3773812	B73	base
ERR3773815	B73	middle
ERR3773816	B73	tip
ERR3773818	B73	tassel
ERR3773822	B73	anther
ERR3773824	B73	endosperm
ERR3773807	B73	root
ERR3773826	B73	embryo
ERR3773820	B73	ear
ERR3791403	B97	anther
ERR3791405	CML103	anther
ERR3791409	CML228	anther
ERR3791412	CML247	anther
ERR3791414	CML322	anther
ERR3791415	CML333	anther
ERR3791427	Ki3	anther
ERR3791434	M37W	anther
ERR3791437	Ms71	anther
ERR3791442	NC358	anther
ERR3791447	P39	anther
ERR3791454	B97	ear
ERR3791460	CML228	ear
ERR3791472	HP301	ear
ERR3791473	IL14H	ear
ERR3791476	Ki11	ear
ERR3791486	Mo18w	ear
ERR3791490	NC358	ear
ERR3791492	Oh43	ear
ERR3791501	Tzi8	ear
ERR3791506	CML322	embryo
ERR3791508	CML69	embryo
ERR3791510	HP301	embryo
ERR3791512	IL14H	embryo
ERR3791513	Ki11	embryo
ERR3791514	Ki3	embryo
ERR3791520	Mo18w	embryo
ERR3791521	Ms71	embryo
ERR3791523	NC350	embryo
ERR3791528	NC358	embryo
ERR3791530	Oh43	embryo
ERR3791531	Oh7b	embryo
ERR3791535	Tx303	embryo
ERR3791538	Tzi8	embryo
ERR3791543	CML228	endosperm
ERR3791549	CML69	endosperm
ERR3791554	IL14H	endosperm
ERR3791560	M162W	endosperm
ERR3791571	NC358	endosperm
ERR3791573	Oh43	endosperm
ERR3791575	Oh7b	endosperm
ERR3791580	Tzi8	endosperm
ERR3791584	CML103	base
ERR3791589	CML228	base
ERR3791590	CML247	base
ERR3791595	CML333	base
ERR3791596	CML52	base
ERR3791603	IL14H	base
ERR3791605	Ki11	base
ERR3791607	Ki3	base
ERR3791608	Ky21	base
ERR3791614	Mo18w	base
ERR3791617	Ms71	base
ERR3791618	NC350	base
ERR3791624	Oh43	base
ERR3791629	Tx303	base
ERR3791632	Tzi8	base
ERR3791638	CML277	middle
ERR3791644	CML322	middle
ERR3791646	CML333	middle
ERR3791653	HP301	middle
ERR3791656	Ki11	middle
ERR3791658	Ki3	middle
ERR3791662	M162W	middle
ERR3791666	Mo18w	middle
ERR3791670	NC350	middle
ERR3791672	NC358	middle
ERR3791675	Oh43	middle
ERR3791684	B97	tip
ERR3791690	CML228	tip
ERR3791700	CML69	tip
ERR3791706	Ki11	tip
ERR3791715	M37W	tip
ERR3791720	NC350	tip
