run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR3773809	PRJEB35943	SAMEA6435171	ERX3775686	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/009/ERR3773809/ERR3773809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/009/ERR3773809/ERR3773809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773809/B73_8DAS_shoot_MN01021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773809/B73_8DAS_shoot_MN01021_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/009/ERR3773809	
ERR3773810	PRJEB35943	SAMEA6435172	ERX3775687	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/000/ERR3773810/ERR3773810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/000/ERR3773810/ERR3773810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773810/B73_8DAS_shoot_MN01022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773810/B73_8DAS_shoot_MN01022_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/000/ERR3773810	
ERR3773812	PRJEB35943	SAMEA6435174	ERX3775689	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/002/ERR3773812/ERR3773812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/002/ERR3773812/ERR3773812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773812/B73_V11_base_MN01032_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773812/B73_V11_base_MN01032_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/002/ERR3773812	
ERR3773815	PRJEB35943	SAMEA6435177	ERX3775692	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/005/ERR3773815/ERR3773815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/005/ERR3773815/ERR3773815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773815/B73_V11_middle_MN01043_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773815/B73_V11_middle_MN01043_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/005/ERR3773815	
ERR3773816	PRJEB35943	SAMEA6435178	ERX3775693	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/006/ERR3773816/ERR3773816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/006/ERR3773816/ERR3773816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773816/B73_V11_tip_MN01051_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773816/B73_V11_tip_MN01051_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/006/ERR3773816	
ERR3773818	PRJEB35943	SAMEA6435180	ERX3775695	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/008/ERR3773818/ERR3773818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/008/ERR3773818/ERR3773818_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773818/B73_V18_tassel_MN01061_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773818/B73_V18_tassel_MN01061_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/008/ERR3773818	
ERR3773819	PRJEB35943	SAMEA6435181	ERX3775696	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/009/ERR3773819/ERR3773819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/009/ERR3773819/ERR3773819_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773819/B73_V18_tassel_MN01062_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773819/B73_V18_tassel_MN01062_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/009/ERR3773819	
ERR3773822	PRJEB35943	SAMEA6435184	ERX3775699	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/002/ERR3773822/ERR3773822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/002/ERR3773822/ERR3773822_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773822/B73_R1_anther_MN01081_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773822/B73_R1_anther_MN01081_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/002/ERR3773822	
ERR3773824	PRJEB35943	SAMEA6435186	ERX3775701	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/004/ERR3773824/ERR3773824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/004/ERR3773824/ERR3773824_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773824/B73_16DAP_endosperm_MN01091_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773824/B73_16DAP_endosperm_MN01091_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/004/ERR3773824	
ERR3773807	PRJEB35943	SAMEA6435169	ERX3775684	381124	Zea mays subsp. mays	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/007/ERR3773807/ERR3773807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/007/ERR3773807/ERR3773807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773807/B73_8DAS_root_MN01011_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773807/B73_8DAS_root_MN01011_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/007/ERR3773807	
