name,gene_link,annot_link
ananas_comosus,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/ananas_comosus/dna/Ananas_comosus.F153.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/ananas_comosus/Ananas_comosus.F153.57.gff3.gz
arabidopsis_halleri,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/arabidopsis_halleri/dna/Arabidopsis_halleri.Ahal2.2.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/arabidopsis_halleri/Arabidopsis_halleri.Ahal2.2.57.gff3.gz
arabidopsis_lyrata,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/arabidopsis_lyrata/dna/Arabidopsis_lyrata.v.1.0.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/arabidopsis_lyrata/Arabidopsis_lyrata.v.1.0.57.gff3.gz
arabidopsis_thaliana,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/arabidopsis_thaliana/dna/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/arabidopsis_thaliana/Arabidopsis_thaliana.TAIR10.57.gff3.gz
arabis_alpina,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/arabis_alpina/dna/Arabis_alpina.A_alpina_V4.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/arabis_alpina/Arabis_alpina.A_alpina_V4.57.gff3.gz
brachypodium_distachyon,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/brachypodium_distachyon/dna/Brachypodium_distachyon.Brachypodium_distachyon_v3.0.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/brachypodium_distachyon/Brachypodium_distachyon.Brachypodium_distachyon_v3.0.57.gff3.gz
brassica_rapa,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/brassica_rapa/dna/Brassica_rapa.Brapa_1.0.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/brassica_rapa/Brassica_rapa.Brapa_1.0.57.gff3.gz
brassica_rapa_ro18,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/brassica_rapa_ro18/dna/Brassica_rapa_ro18.SCU_BraROA_2.3.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/brassica_rapa_ro18/Brassica_rapa_ro18.SCU_BraROA_2.3.57.gff3.gz
chlamydomonas_reinhardtii,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/chlamydomonas_reinhardtii/dna/Chlamydomonas_reinhardtii.Chlamydomonas_reinhardtii_v5.5.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/chlamydomonas_reinhardtii/Chlamydomonas_reinhardtii.Chlamydomonas_reinhardtii_v5.5.57.gff3.gz
chondrus_crispus,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/fasta/chondrus_crispus/dna/Chondrus_crispus.ASM35022v2.dna.toplevel.fa.gz,https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-57/gff3/chondrus_crispus/Chondrus_crispus.ASM35022v2.57.gff3.gz
