name,gene_link,annot_link
GCF_003935025.1_Abrus_2018,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Abrus_precatorius/all_assembly_versions/GCF_003935025.1_Abrus_2018/GCF_003935025.1_Abrus_2018_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Abrus_precatorius/all_assembly_versions/GCF_003935025.1_Abrus_2018/GCF_003935025.1_Abrus_2018_genomic.gff.gz
GCF_019202715.1_MaoHua_MHT,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Actinidia_eriantha/all_assembly_versions/GCF_019202715.1_MaoHua_MHT/GCF_019202715.1_MaoHua_MHT_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Actinidia_eriantha/all_assembly_versions/GCF_019202715.1_MaoHua_MHT/GCF_019202715.1_MaoHua_MHT_genomic.gff.gz
GCF_002575655.1_Aet_v4.0,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Aegilops_tauschii/all_assembly_versions/GCF_002575655.1_Aet_v4.0/GCF_002575655.1_Aet_v4.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Aegilops_tauschii/all_assembly_versions/GCF_002575655.1_Aet_v4.0/GCF_002575655.1_Aet_v4.0_genomic.gff.gz
GCF_002575655.2_Aet_v5.0,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Aegilops_tauschii/all_assembly_versions/GCF_002575655.2_Aet_v5.0/GCF_002575655.2_Aet_v5.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Aegilops_tauschii/all_assembly_versions/GCF_002575655.2_Aet_v5.0/GCF_002575655.2_Aet_v5.0_genomic.gff.gz
GCF_026212465.1_ASM2621246v1,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Amaranthus_tricolor/all_assembly_versions/GCF_026212465.1_ASM2621246v1/GCF_026212465.1_ASM2621246v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Amaranthus_tricolor/all_assembly_versions/GCF_026212465.1_ASM2621246v1/GCF_026212465.1_ASM2621246v1_genomic.gff.gz
GCF_000471905.1_AMTR1.0,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Amborella_trichopoda/all_assembly_versions/GCF_000471905.1_AMTR1.0/GCF_000471905.1_AMTR1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Amborella_trichopoda/all_assembly_versions/GCF_000471905.1_AMTR1.0/GCF_000471905.1_AMTR1.0_genomic.gff.gz
GCF_000471905.2_AMTR1.0,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Amborella_trichopoda/all_assembly_versions/GCF_000471905.2_AMTR1.0/GCF_000471905.2_AMTR1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Amborella_trichopoda/all_assembly_versions/GCF_000471905.2_AMTR1.0/GCF_000471905.2_AMTR1.0_genomic.gff.gz
GCF_001540865.1_ASM154086v1,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Ananas_comosus/all_assembly_versions/GCF_001540865.1_ASM154086v1/GCF_001540865.1_ASM154086v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Ananas_comosus/all_assembly_versions/GCF_001540865.1_ASM154086v1/GCF_001540865.1_ASM154086v1_genomic.gff.gz
GCF_009805555.1_ASM980555v1,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Andrographis_paniculata/all_assembly_versions/GCF_009805555.1_ASM980555v1/GCF_009805555.1_ASM980555v1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Andrographis_paniculata/all_assembly_versions/GCF_009805555.1_ASM980555v1/GCF_009805555.1_ASM980555v1_genomic.gff.gz
GCF_000004255.1_v.1.0,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_lyrata/all_assembly_versions/GCF_000004255.1_v.1.0/GCF_000004255.1_v.1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_lyrata/all_assembly_versions/GCF_000004255.1_v.1.0/GCF_000004255.1_v.1.0_genomic.gff.gz
GCF_000004255.2_v.1.0,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_lyrata/all_assembly_versions/GCF_000004255.2_v.1.0/GCF_000004255.2_v.1.0_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_lyrata/all_assembly_versions/GCF_000004255.2_v.1.0/GCF_000004255.2_v.1.0_genomic.gff.gz
GCF_000001735.3_TAIR10,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_thaliana/all_assembly_versions/GCF_000001735.3_TAIR10/GCF_000001735.3_TAIR10_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_thaliana/all_assembly_versions/GCF_000001735.3_TAIR10/GCF_000001735.3_TAIR10_genomic.gff.gz
GCF_000001735.4_TAIR10.1,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_thaliana/all_assembly_versions/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arabidopsis_thaliana/all_assembly_versions/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_genomic.gff.gz
GCF_000817695.2_Aradu1.1,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_duranensis/all_assembly_versions/GCF_000817695.2_Aradu1.1/GCF_000817695.2_Aradu1.1_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_duranensis/all_assembly_versions/GCF_000817695.2_Aradu1.1/GCF_000817695.2_Aradu1.1_genomic.gff.gz
GCF_000817695.3_aradu.V14167.gnm2.J7QH,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_duranensis/all_assembly_versions/GCF_000817695.3_aradu.V14167.gnm2.J7QH/GCF_000817695.3_aradu.V14167.gnm2.J7QH_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_duranensis/all_assembly_versions/GCF_000817695.3_aradu.V14167.gnm2.J7QH/GCF_000817695.3_aradu.V14167.gnm2.J7QH_genomic.gff.gz
GCF_003086295.1_arahy.Tifrunner.gnm1.KYV3,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_hypogaea/all_assembly_versions/GCF_003086295.1_arahy.Tifrunner.gnm1.KYV3/GCF_003086295.1_arahy.Tifrunner.gnm1.KYV3_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_hypogaea/all_assembly_versions/GCF_003086295.1_arahy.Tifrunner.gnm1.KYV3/GCF_003086295.1_arahy.Tifrunner.gnm1.KYV3_genomic.gff.gz
GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_hypogaea/all_assembly_versions/GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3/GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/refseq/plant/Arachis_hypogaea/all_assembly_versions/GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3/GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3_genomic.gff.gz
